timestamp,epoch,cost,mse,rmse,mae,max_err,psnr,ssim
1787361318.6359675,0,0.0,0.06151738081979869,0.2480269759921261,0.18358153490238882,1.0,12.110021626811406,0.029079904779791832
1787361319.402384,9,0.11198108643293381,0.03168043113949841,0.1779899748286358,0.13459013709555473,1.1198483183979988,14.992089181427307,0.14249469339847565
1787361320.1536808,27,0.052447360008955,0.004068832942969207,0.06378740426580476,0.049081653142884346,0.7033681869506836,23.905301398178807,0.4250371754169464
1787361320.8605533,54,0.024008261039853096,0.0009437013895638704,0.03071972313618517,0.02327597818139966,0.5177462995052338,30.25165405178544,0.7229137420654297
1787361321.6002395,80,0.01397948432713747,0.00032745284909378784,0.01809565829401594,0.013384015038041212,0.4070085287094116,34.848512263636984,0.8796272873878479
1787361322.3218598,114,0.009747800417244434,0.00017106685195880664,0.01307925272937283,0.009644455887007837,0.3986662030220032,37.66834136453601,0.9415963292121887
1787361323.0427256,157,0.007286990061402321,9.42712153955743e-05,0.009709336506454717,0.0068923499343015475,0.3389893174171448,40.25620893628754,0.9659506678581238
1787361323.7590976,183,0.006862178444862366,9.843370014515115e-05,0.009921375919959447,0.007329794751549087,0.3297014832496643,40.068561892660554,0.9664952158927917
1787361324.4768882,244,0.0059403846971690655,6.495747702180953e-05,0.0080596201536927,0.005819017520151667,0.27023065090179443,41.87370851549865,0.979194164276123
1787361325.1665,280,0.005991456564515829,5.705249408960454e-05,0.007553310141229773,0.005449272770910519,0.2627193033695221,42.437253652663884,0.9818432331085205
1787361325.806989,320,0.0048548378981649876,4.538314652087332e-05,0.006736701457009455,0.004759759784842811,0.23649358749389648,43.4310539668394,0.9846000671386719
1787361326.4972947,365,0.004631143994629383,4.0225674179037455e-05,0.006342371337207989,0.004472001824669383,0.21800512075424194,43.954966683538984,0.986502468585968
1787361327.1723125,415,0.004310809541493654,3.5060187511281174e-05,0.005921164371243309,0.004160098724812026,0.20150744915008545,44.55185765402405,0.9884549975395203
1787361327.8157191,471,0.00421560974791646,3.5210045618572515e-05,0.0059338053236159104,0.004288362462667584,0.20573484897613525,44.53333412170424,0.9887518286705017
1787361328.6510053,533,0.004500206559896469,3.288496127688002e-05,0.005734541069421338,0.00414597758926494,0.17307651042938232,44.83002665148533,0.9897854328155518
1787361329.3564162,533,0.004500206559896469,3.288496127688002e-05,0.005734541069421338,0.00414597758926494,0.17307651042938232,44.83002665148533,0.9897854328155518
1787361330.0623405,602,0.0034766995813697577,2.9359563638980837e-05,0.005418446607560218,0.003950390462784871,0.2124766707420349,45.32250403382476,0.990393340587616
1787361330.7033832,678,0.0037195642944425344,2.3620604653132543e-05,0.004860103358276709,0.003494821463409693,0.15854668617248535,46.267089891630775,0.9922201037406921
1787361331.7014608,762,0.003635755507275462,2.2763547414980176e-05,0.004771115950695411,0.0034692556973724207,0.15115880966186523,46.427600575237555,0.9924523234367371
1787361332.4087837,762,0.003635755507275462,2.2763547414980176e-05,0.004771115950695411,0.0034692556973724207,0.15115880966186523,46.427600575237555,0.9924523234367371
1787361333.060375,855,0.003790401853621006,1.8730027218066043e-05,0.00432782014622443,0.0030392108165400683,0.15979087352752686,47.2746159141244,0.9934613108634949
1787361334.2880847,958,0.0028369140345603228,1.4244326960925266e-05,0.003774165730452926,0.0024971367140103258,0.1456584930419922,48.46358066082097,0.9947224259376526
1787361334.969477,958,0.0028369140345603228,1.4244326960925266e-05,0.003774165730452926,0.0024971367140103258,0.1456584930419922,48.46358066082097,0.9947224259376526
1787361335.6798122,1072,0.002742672571912408,1.241110073008762e-05,0.0035229392174841194,0.0023288335154863964,0.13857388496398926,49.06189699451857,0.9952974915504456
1787361336.3985758,1072,0.002742672571912408,1.241110073008762e-05,0.0035229392174841194,0.0023288335154863964,0.13857388496398926,49.06189699451857,0.9952974915504456
1787361337.2614267,1198,0.0034778525587171316,1.4225930851161571e-05,0.003771727833654169,0.00261389937215304,0.15516042709350586,48.46919306530712,0.9948053359985352
1787361337.94632,1198,0.0034778525587171316,1.4225930851161571e-05,0.003771727833654169,0.00261389937215304,0.15516042709350586,48.46919306530712,0.9948053359985352
1787361338.943414,1337,0.002941575599834323,1.7911238804760307e-05,0.004232167152270845,0.003089677074020011,0.12250828742980957,47.46874375647849,0.9941268563270569
1787361339.6585987,1337,0.002941575599834323,1.7911238804760307e-05,0.004232167152270845,0.003089677074020011,0.12250828742980957,47.46874375647849,0.9941268563270569
1787361340.8117826,1487,0.002731206826865673,1.5089966448380384e-05,0.003884580601349441,0.002868296941570946,0.1649877429008484,48.21311725767585,0.9948391318321228
1787361341.4959044,1487,0.002731206826865673,1.5089966448380384e-05,0.003884580601349441,0.002868296941570946,0.1649877429008484,48.21311725767585,0.9948391318321228
1787361342.6282349,1637,0.0025831973180174828,1.2524244697455628e-05,0.0035389609629742497,0.002518796523412965,0.10823804140090942,49.02248455676905,0.99574214220047
1787361343.2864568,1637,0.0025831973180174828,1.2524244697455628e-05,0.0035389609629742497,0.002518796523412965,0.10823804140090942,49.02248455676905,0.99574214220047
